Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples,
0,10,1,9,0,127797,3475,6251,5802,127797,
1,23,2,21,0,215250,6008,10806,9624,215250,
2,49,3,46,0,449961,13284,23892,23049,449961,
3,73,3,70,0,689570,19458,34998,33258,689570,
4,103,8,95,0,1057973,30517,54894,48802,1057973,
5,121,10,111,0,1166544,33783,60767,52926,1166544,
6,137,10,127,0,1289091,37094,66720,56665,1289091,
7,156,13,143,0,1418777,40612,73047,61379,1418777,
8,181,15,166,0,1599115,45180,81262,67665,1599115,
9,205,17,188,0,1837280,52740,94863,78278,1837280,
10,223,17,205,0,1990513,56749,102072,82683,1983055,
11,240,18,221,0,2172509,61298,110252,89547,2164382,
12,266,20,246,0,2400043,66906,120334,98982,2400043,
13,295,21,274,0,2709073,75240,135326,114673,2709073,
14,315,21,294,0,2877886,79883,143676,121241,2877886,
15,333,22,311,0,3070452,85576,153916,129210,3070452,
16,355,22,333,0,3220990,89768,161454,135861,3220990,
17,374,23,349,0,3422139,95274,171356,146688,3411467,
18,403,25,377,0,3714007,103895,186860,159908,3706000,
19,431,27,403,0,4058774,114509,205955,178002,4052643,
20,457,29,428,0,4310941,121166,217926,186804,4310941,
21,476,29,447,0,4437121,124454,223836,191102,4437121,
22,509,32,477,0,4838731,136098,244779,209389,4838731,
23,531,33,498,0,5087085,142705,256660,220164,5087085,
24,564,37,526,0,5401201,151287,272089,232892,5395351,
25,583,38,544,0,5599773,157052,282457,241467,5596992,
26,610,39,568,0,5919888,165916,298402,251992,5906916,
27,640,43,597,0,6194783,174131,313176,264189,6194783,
28,658,44,614,0,6439829,182016,327363,278157,6439829,
29,683,47,636,0,6653048,188326,338708,288850,6653048,
30,704,49,655,0,6824458,193316,347680,295528,6824458,
31,730,52,678,0,7148701,202501,364203,307912,7148701,
32,752,54,698,0,7968105,230772,415082,360021,7968105,
33,778,55,722,0,8280058,239125,430108,374114,8273145,
34,802,55,747,0,8498873,244598,439947,382404,8498873,
35,821,59,762,0,8633371,248359,446709,387483,8633371,
36,844,61,779,0,8823101,253596,456127,395037,8803991,
37,870,62,808,0,8990838,257931,463920,401766,8990838,
38,886,63,823,0,9160364,262181,471564,407775,9160364,
39,903,63,840,0,9442782,270004,485637,421677,9442782,
40,927,64,861,0,9794983,280056,503723,434102,9714991,
41,956,65,890,0,10208177,291279,523914,457598,10201067,
42,977,67,909,0,10571285,302812,544664,475074,10516127,
43,995,68,926,0,10726137,306832,551890,483652,10717894,
44,1016,68,948,0,10969866,313243,563419,494681,10969866,
45,1037,70,967,0,11110825,316503,569279,498285,11110825,
46,1064,71,993,0,11576451,329862,593311,520659,11576451,
47,1084,74,1010,0,11900130,339940,611442,536879,11900130,
48,1103,74,1028,0,12110820,345430,621319,545735,12104721,
49,1120,75,1045,0,12380559,353591,636004,557919,12380559,
50,1145,76,1067,0,12679150,362163,651425,572294,12669376,
51,1168,79,1088,0,12901184,368188,662260,581353,12891691,
52,1184,79,1105,0,13073330,372389,669814,587066,13073330,
53,1211,79,1131,0,13253021,376871,677868,593035,13250537,
54,1223,81,1142,0,13366894,380049,683585,598681,13366894,
55,1242,81,1160,0,13562309,385084,692640,605906,13554730,
56,1263,83,1180,0,13776514,391012,703302,616046,13776514,
57,1285,84,1200,0,14237904,404855,728211,632919,14125435,
58,1300,84,1215,0,14375581,408128,734095,644391,14368979,
59,1321,84,1237,0,14510763,411645,740418,649726,14510763,
60,1335,84,1250,0,14600117,413749,744201,652696,14596799,
61,1352,85,1267,0,14769841,418812,753308,659421,14769841,
62,1370,86,1283,0,14979513,425420,765196,668761,14970322,
63,1392,87,1304,0,15180630,430801,774874,675139,15125349,
64,1413,89,1323,0,15386393,436189,784566,686671,15381876,
65,1434,90,1343,0,15645116,443314,797384,696740,15627472,
66,1454,92,1362,0,15985641,452967,814751,713802,15985641,
