## blobtools v1.0
## cov0=/home/jon/Working_Files/blobtools/output.output.bam.cov
# name	colour	count_visible	count_visible_perc	span_visible	span_visible_perc	n50	gc_mean	gc_std	cov0_mean	cov0_std	cov0_read_map	cov0_read_map_p
all	None	61,935	9.0%	615,500,166	73.4%	13,429	0.37	0.024	106.8	40.0	464,176,097	75.2%
Apostichopus japonicus	#fee08b	35,650	54.8%	437,104,726	93.7%	16,824	0.38	0.021	109.0	36.5	334,847,583	54.2%
no-hit	#d3d3d3	22,426	3.7%	140,373,402	43.0%	6,732	0.37	0.024	103.8	44.8	100,879,471	16.3%
Asterias rubens	#9e0142	1,124	48.3%	14,259,903	93.8%	18,146	0.37	0.018	108.6	34.1	11,068,996	1.8%
Strongylocentrotus purpuratus	#fff0a6	682	50.7%	7,436,802	92.3%	14,910	0.39	0.027	118.0	41.0	5,917,831	1.0%
Mizuhopecten yessoensis	#aadca4	852	22.8%	3,958,505	46.2%	4,582	0.45	0.018	74.0	33.7	1,967,904	0.3%
Stylophora pistillata	#496aaf	108	52.2%	864,206	86.8%	9,051	0.38	0.021	121.2	57.2	655,060	0.1%
Holothuria nobilis	#f46d43	76	66.1%	690,642	91.1%	11,832	0.37	0.019	111.5	47.5	532,427	0.1%
Oryzias latipes	#86cfa5	57	52.8%	548,639	86.2%	12,948	0.37	0.029	112.5	36.1	398,923	0.1%
Acanthaster planci	#d43d4f	26	44.8%	426,365	96.5%	21,996	0.38	0.024	112.3	22.5	338,038	0.1%
Astyanax mexicanus	#66c2a5	31	62.0%	414,288	94.5%	25,321	0.38	0.026	108.8	46.5	319,789	0.1%
Oryzias melastigma	#b81e48	39	67.2%	353,601	92.0%	12,763	0.36	0.018	106.8	27.4	251,031	0.0%
Thalassophryne amazonica	#f98e52	32	62.7%	350,938	91.9%	15,104	0.4	0.032	106.4	21.4	261,665	0.0%
Labeo rohita	#fdc776	36	57.1%	338,350	88.8%	14,895	0.38	0.02	129.5	59.6	265,104	0.0%
Lingula anatina	#fdad60	30	62.5%	332,591	93.8%	13,145	0.38	0.017	116.8	31.9	273,380	0.0%
Amphimedon queenslandica	#ffffbe	19	76.0%	270,779	95.7%	22,083	0.39	0.021	106.1	25.3	198,230	0.0%
Priapulus caudatus	#e45549	30	34.9%	211,804	80.7%	7,183	0.4	0.025	104.1	41.2	148,764	0.0%
Elysia chlorotica	#c8e99e	30	18.8%	197,097	46.6%	5,902	0.44	0.037	90.7	39.0	134,576	0.0%
Salmo trutta	#3387bc	14	77.8%	192,234	97.8%	16,512	0.38	0.02	103.0	25.4	130,447	0.0%
Gadus morhua	#f3faac	15	68.2%	191,447	93.8%	20,237	0.41	0.02	91.4	19.4	115,506	0.0%
Hucho hucho	#e6f598	24	57.1%	183,336	85.5%	9,019	0.38	0.022	114.1	34.3	140,148	0.0%
other	#ffffff	634	24.0%	6,800,511	88.1%	14,173	0.38	0.025	111.0	34.3	5,331,224	0.9%
Charistephane fugiens	None	1	50.0%	5,791	75.4%	5,791	0.38	0.0	97.7	0.0	3,770	0.0%
Salmo salar	None	5	31.2%	58,407	72.0%	29,215	0.38	0.031	112.8	21.6	46,961	0.0%
Ensis macha	None	2	5.9%	22,314	78.2%	14,706	0.4	0.0037	212.6	83.7	27,659	0.0%
Gongylonema pulchrum	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Branchiostoma floridae	None	13	48.1%	136,843	85.9%	16,179	0.38	0.026	110.0	32.9	109,390	0.0%
Ensis directus	None	5	2.3%	65,472	61.8%	19,194	0.4	0.025	135.9	40.4	52,783	0.0%
Polydora lingshuiensis	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Schistosoma japonicum	None	2	100.0%	12,638	100.0%	6,510	0.38	0.0032	73.4	2.5	6,185	0.0%
Xenopus tropicalis	None	1	20.0%	4,253	53.0%	4,253	0.41	0.0	94.3	0.0	2,673	0.0%
Echinops telfairi	None	1	50.0%	10,492	90.8%	10,492	0.35	0.0	150.3	0.0	10,501	0.0%
Ooceraea biroi	None	1	50.0%	5,775	97.2%	5,775	0.38	0.0	88.4	0.0	3,404	0.0%
Maylandia zebra	None	13	52.0%	119,828	87.0%	10,760	0.37	0.024	115.3	45.9	91,568	0.0%
Collichthys lucidus	None	7	53.8%	105,009	91.3%	22,214	0.42	0.041	126.5	61.1	73,504	0.0%
Podarcis muralis	None	1	100.0%	26,211	100.0%	26,211	0.36	0.0	151.6	0.0	26,520	0.0%
Saccoglossus kowalevskii	None	3	100.0%	48,193	100.0%	16,553	0.37	0.0071	94.3	7.5	30,573	0.0%
Drosophila busckii	None	1	100.0%	13,143	100.0%	13,143	0.4	0.0	114.4	0.0	10,035	0.0%
Petromyzon marinus	None	2	66.7%	7,831	73.7%	3,979	0.35	0.019	118.1	19.0	6,157	0.0%
Xyloplax janetae	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Xiphophorus couchianus	None	1	100.0%	4,163	100.0%	4,163	0.4	0.0	57.5	0.0	1,597	0.0%
Habropoda laboriosa	None	2	18.2%	20,251	57.3%	11,199	0.38	0.012	86.7	10.3	11,553	0.0%
Macrostomum lignano	None	3	100.0%	23,960	100.0%	8,004	0.41	0.026	91.7	27.7	14,519	0.0%
Paralichthys olivaceus	None	1	100.0%	4,088	100.0%	4,088	0.35	0.0	91.8	0.0	2,496	0.0%
Seriola dumerili	None	1	100.0%	4,598	100.0%	4,598	0.38	0.0	196.9	0.0	6,044	0.0%
Periophthalmus magnuspinnatus	None	2	100.0%	38,631	100.0%	29,943	0.38	0.0051	112.2	33.7	33,667	0.0%
Taenia asiatica	None	1	50.0%	7,210	87.9%	7,210	0.37	0.0	80.0	0.0	3,846	0.0%
Dasypus novemcinctus	None	1	100.0%	6,326	100.0%	6,326	0.39	0.0	84.5	0.0	3,564	0.0%
Paramormyrops kingsleyae	None	12	70.6%	159,105	96.6%	18,500	0.39	0.025	119.2	37.8	130,108	0.0%
Soboliphyme baturini	None	1	100.0%	14,086	100.0%	14,086	0.36	0.0	140.2	0.0	13,198	0.0%
Poecilia formosa	None	1	100.0%	3,414	100.0%	3,414	0.36	0.0	87.0	0.0	1,981	0.0%
Lateolabrax maculatus	None	1	100.0%	10,801	100.0%	10,801	0.38	0.0	119.0	0.0	8,570	0.0%
Saimiri boliviensis	None	1	100.0%	34,304	100.0%	34,304	0.36	0.0	145.4	0.0	33,202	0.0%
Syngnathus acus	None	3	100.0%	23,793	100.0%	13,509	0.39	0.0088	91.7	28.4	15,255	0.0%
Podocoryna carnea	None	2	2.9%	21,994	60.9%	15,437	0.37	0.015	149.9	18.1	20,893	0.0%
Fopius arisanus	None	1	100.0%	22,418	100.0%	22,418	0.38	0.0	125.1	0.0	18,689	0.0%
Lytechinus variegatus	None	1	14.3%	28,384	95.9%	28,384	0.37	0.0	144.5	0.0	27,350	0.0%
Temnothorax longispinosus	None	1	100.0%	17,702	100.0%	17,702	0.37	0.0	84.5	0.0	9,970	0.0%
Cerastoderma glaucum	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Camelus dromedarius	None	1	100.0%	26,184	100.0%	26,184	0.37	0.0	147.3	0.0	25,658	0.0%
Caenorhabditis elegans	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Galendromus occidentalis	None	1	100.0%	16,070	100.0%	16,070	0.35	0.0	100.0	0.0	10,715	0.0%
Laodelphax striatellus	None	2	28.6%	20,084	68.6%	12,353	0.41	0.027	118.6	26.6	15,071	0.0%
Pomacea canaliculata	None	1	14.3%	3,044	74.2%	3,044	0.41	0.0	65.7	0.0	1,334	0.0%
Manduca sexta	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Nannospalax galili	None	2	100.0%	22,290	100.0%	19,063	0.4	0.044	93.2	24.1	16,407	0.0%
Megachile rotundata	None	1	100.0%	68,523	100.0%	68,523	0.37	0.0	136.6	0.0	62,466	0.0%
Pelodiscus sinensis	None	12	50.0%	105,741	84.7%	13,510	0.4	0.026	97.6	25.5	85,769	0.0%
Cynoglossus semilaevis	None	11	64.7%	105,536	93.5%	12,592	0.39	0.023	110.3	25.7	84,521	0.0%
Denticeps clupeoides	None	1	100.0%	10,045	100.0%	10,045	0.38	0.0	129.2	0.0	8,636	0.0%
Corapipo altera	None	1	50.0%	6,093	88.5%	6,093	0.36	0.0	114.1	0.0	4,643	0.0%
Kryptolebias marmoratus	None	6	50.0%	49,700	85.5%	8,991	0.37	0.026	122.7	30.6	43,047	0.0%
Argopecten irradians	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Isostichopus fuscus	None	20	66.7%	142,541	91.9%	7,905	0.37	0.015	106.4	30.4	106,591	0.0%
Heliothis virescens	None	2	100.0%	10,626	100.0%	6,474	0.4	0.0022	74.6	4.4	5,352	0.0%
Parvulobathynella distincta	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Tachysurus fulvidraco	None	2	100.0%	31,787	100.0%	28,199	0.37	0.0023	133.8	41.2	35,108	0.0%
Copidosoma floridanum	None	2	100.0%	11,273	100.0%	8,114	0.37	0.0039	72.4	13.4	5,897	0.0%
Diplodontias miliaris	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Illex illecebrosus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Pseudostichopus sp. 2 AKM-2016	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Lepisosteus oculatus	None	2	100.0%	35,156	100.0%	18,484	0.38	0.0083	119.1	49.3	27,306	0.0%
Ixodes scapularis	None	4	22.2%	48,645	96.7%	16,983	0.37	0.014	125.7	22.9	38,112	0.0%
Anopheles stephensi	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Donax vittatus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Chilo suppressalis	None	6	30.0%	53,821	71.2%	10,488	0.39	0.017	137.9	48.6	43,965	0.0%
Salarias fasciatus	None	1	50.0%	14,008	96.4%	14,008	0.38	0.0	134.4	0.0	12,564	0.0%
Lupinus angustifolius	None	1	100.0%	6,651	100.0%	6,651	0.36	0.0	123.6	0.0	5,481	0.0%
Populus trichocarpa	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Crassostrea brasiliana	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Anopheles gambiae	None	1	100.0%	26,424	100.0%	26,424	0.4	0.0	122.3	0.0	21,559	0.0%
Xiphophorus maculatus	None	9	64.3%	97,151	93.9%	12,026	0.38	0.032	121.3	26.9	77,118	0.0%
Parambassis ranga	None	1	100.0%	9,890	100.0%	9,890	0.38	0.0	135.0	0.0	8,909	0.0%
Apostichopus californicus	None	22	23.4%	156,604	89.6%	8,384	0.38	0.023	95.9	21.4	104,212	0.0%
Vitis vinifera	None	1	100.0%	17,560	100.0%	17,560	0.37	0.0	153.3	0.0	17,955	0.0%
Prunus dulcis	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Falco peregrinus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Glycera americana	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Lethenteron camtschaticum	None	2	100.0%	85,548	100.0%	71,924	0.37	0.006	134.3	13.2	81,794	0.0%
Donax trunculus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Drosophila sechellia	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Clupea harengus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Octodon degus	None	1	100.0%	11,276	100.0%	11,276	0.37	0.0	137.2	0.0	10,336	0.0%
Erysiphe pulchra	None	1	100.0%	4,850	100.0%	4,850	0.43	0.0	148.9	0.0	4,805	0.0%
Trichechus manatus	None	1	100.0%	12,800	100.0%	12,800	0.38	0.0	152.1	0.0	12,977	0.0%
Fundulus heteroclitus	None	2	100.0%	50,594	100.0%	43,994	0.38	0.0013	105.9	32.9	43,981	0.0%
Sphaeramia orbicularis	None	2	50.0%	30,959	93.9%	20,403	0.37	0.0069	118.0	33.4	22,164	0.0%
Latimeria chalumnae	None	14	53.8%	125,194	88.7%	12,032	0.4	0.023	115.6	51.3	93,977	0.0%
Gekko japonicus	None	1	100.0%	18,051	100.0%	18,051	0.37	0.0	129.4	0.0	15,588	0.0%
Afrocucumis africana	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Biomphalaria glabrata	None	8	80.0%	54,810	95.0%	8,781	0.39	0.013	113.2	25.9	45,199	0.0%
Danio rerio	None	9	50.0%	140,358	95.1%	24,665	0.37	0.018	125.1	32.2	115,717	0.0%
Rhabdopleura compacta	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Stegastes partitus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Amborella trichopoda	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Dendronephthya gigantea	None	1	100.0%	27,526	100.0%	27,526	0.38	0.0	89.2	0.0	16,385	0.0%
Nasonia vitripennis	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Falco cherrug	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Larimichthys crocea	None	1	12.5%	8,844	75.2%	8,844	0.39	0.0	155.3	0.0	9,138	0.0%
Daphnia pulex	None	1	100.0%	7,135	100.0%	7,135	0.41	0.0	108.4	0.0	5,158	0.0%
Pannychia cf. moseleyi AKM-2016	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Asbolus verrucosus	None	1	100.0%	12,762	100.0%	12,762	0.37	0.0	93.9	0.0	8,001	0.0%
Bathymodiolus platifrons methanotrophic gill symbiont	None	3	50.0%	39,425	95.0%	27,300	0.38	0.023	107.0	18.3	29,072	0.0%
Hordeum vulgare	None	2	100.0%	9,750	100.0%	6,514	0.4	0.015	67.2	3.8	4,432	0.0%
Caenorhabditis japonica	None	1	100.0%	3,179	100.0%	3,179	0.4	0.0	76.6	0.0	1,619	0.0%
Nothobranchius furzeri	None	8	100.0%	77,291	100.0%	12,185	0.4	0.046	108.7	24.5	59,888	0.0%
Tribolium castaneum	None	1	50.0%	21,385	96.8%	21,385	0.35	0.0	84.3	0.0	12,018	0.0%
Puntigrus tetrazona	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Lates calcarifer	None	2	50.0%	12,090	84.0%	8,632	0.36	0.02	106.7	22.9	7,820	0.0%
Esox lucius	None	1	33.3%	3,474	61.2%	3,474	0.35	0.0	130.8	0.0	3,035	0.0%
Pteraster pulvillus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Mus pahari	None	1	100.0%	14,036	100.0%	14,036	0.39	0.0	124.5	0.0	11,664	0.0%
Nematostella vectensis	None	14	46.7%	148,094	86.5%	12,472	0.39	0.024	103.8	30.8	114,448	0.0%
Alligator mississippiensis	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Serinus canaria	None	1	100.0%	21,131	100.0%	21,131	0.38	0.0	144.4	0.0	20,220	0.0%
Cryptococcus amylolentus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Scleropages formosus	None	2	66.7%	42,223	96.9%	28,446	0.37	0.0038	141.5	2.3	40,086	0.0%
Aquila chrysaetos	None	1	100.0%	27,712	100.0%	27,712	0.35	0.0	147.3	0.0	27,252	0.0%
Poecilia reticulata	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Drosophila suzukii	None	1	100.0%	16,702	100.0%	16,702	0.4	0.0	143.0	0.0	15,952	0.0%
Meleagris gallopavo	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Microphiopholis gracillima	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Paramecium tetraurelia	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Sparus aurata	None	4	44.4%	61,097	94.6%	32,201	0.38	0.013	123.8	19.4	51,021	0.0%
Branchiostoma belcheri	None	1	50.0%	13,736	99.2%	13,736	0.36	0.0	144.1	0.0	13,230	0.0%
Mus musculus	None	3	50.0%	31,642	88.2%	22,727	0.37	0.0032	123.8	33.0	27,161	0.0%
Perca flavescens	None	3	60.0%	37,414	97.5%	13,075	0.37	0.0042	107.2	5.2	27,081	0.0%
Anas platyrhynchos	None	1	100.0%	5,053	100.0%	5,053	0.4	0.0	92.6	0.0	3,114	0.0%
Cephus cinctus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Erpetoichthys calabaricus	None	23	67.6%	175,896	92.3%	8,199	0.39	0.021	94.7	29.7	120,679	0.0%
Spirometra erinaceieuropaei	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Cottoperca gobio	None	2	50.0%	48,501	92.4%	26,045	0.4	0.0083	117.2	16.7	38,323	0.0%
Cyphomyrmex costatus	None	1	50.0%	16,744	86.8%	16,744	0.39	0.0	78.1	0.0	8,726	0.0%
Struthio camelus	None	1	100.0%	9,810	100.0%	9,810	0.38	0.0	75.0	0.0	4,902	0.0%
Sander lucioperca	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Bubalus bubalis	None	1	100.0%	4,456	100.0%	4,456	0.41	0.0	70.8	0.0	2,104	0.0%
Schistosoma margrebowiei	None	1	50.0%	3,037	76.0%	3,037	0.35	0.0	131.0	0.0	2,652	0.0%
Betta splendens	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Neolamprologus brichardi	None	1	50.0%	12,504	91.9%	12,504	0.41	0.0	117.9	0.0	9,836	0.0%
Gouania willdenowi	None	3	60.0%	19,530	93.7%	8,118	0.38	0.013	105.2	23.4	12,900	0.0%
Amphiprion ocellaris	None	5	62.5%	57,035	93.5%	14,520	0.38	0.0099	91.6	13.4	35,756	0.0%
Crassadoma gigantea	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Stichopus monotuberculatus	None	6	54.5%	28,085	79.1%	3,937	0.36	0.008	113.6	30.5	21,669	0.0%
Chlorocebus sabaeus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Labrus bergylta	None	14	58.3%	151,602	91.9%	16,111	0.36	0.018	95.5	32.0	117,911	0.0%
Solanum pennellii	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Neopelma chrysocephalum	None	2	100.0%	13,028	100.0%	8,476	0.35	0.0074	118.4	18.2	9,813	0.0%
Meridiastra gunnii	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Pteria lata	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Armadillidium vulgare	None	1	50.0%	18,313	93.5%	18,313	0.35	0.0	166.1	0.0	20,229	0.0%
Synallactes sp. AKM-2016	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Schistosoma mansoni	None	1	100.0%	3,443	100.0%	3,443	0.38	0.0	108.9	0.0	2,501	0.0%
Acropora digitifera	None	1	100.0%	31,283	100.0%	31,283	0.37	0.0	152.7	0.0	31,882	0.0%
Sinocyclocheilus anshuiensis	None	1	50.0%	16,837	98.0%	16,837	0.39	0.0	134.1	0.0	15,071	0.0%
Hirundo rustica	None	1	100.0%	31,601	100.0%	31,601	0.36	0.0	80.8	0.0	17,033	0.0%
Dentalium octangulatum	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Ophioderma longicauda	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Callorhinchus milii	None	2	50.0%	10,057	78.7%	6,001	0.39	0.015	81.5	0.1	5,467	0.0%
Condylura cristata	None	1	100.0%	24,712	100.0%	24,712	0.39	0.0	149.1	0.0	24,603	0.0%
Chelonia mydas	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Daphnia magna	None	1	50.0%	28,049	95.1%	28,049	0.36	0.0	135.5	0.0	25,347	0.0%
Agrilus planipennis	None	4	100.0%	55,417	100.0%	12,223	0.4	0.022	133.5	21.5	48,958	0.0%
Pocillopora damicornis	None	5	41.7%	63,030	88.3%	19,112	0.39	0.013	119.7	13.1	52,535	0.0%
Punica granatum	None	2	66.7%	13,671	87.1%	9,868	0.41	0.056	100.4	19.9	9,959	0.0%
Crucella scotiae	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Stichopus vastus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Stichopus chloronotus	None	10	71.4%	70,593	89.7%	7,627	0.38	0.01	107.2	49.7	52,338	0.0%
Culex quinquefasciatus	None	1	33.3%	7,171	95.2%	7,171	0.36	0.0	66.1	0.0	3,159	0.0%
Coregonus sp. 'balchen'	None	3	23.1%	18,158	63.3%	9,297	0.38	0.013	103.1	13.3	13,092	0.0%
Psolidium dorsipes	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Electrophorus electricus	None	2	100.0%	13,725	100.0%	9,397	0.36	0.0089	75.2	0.2	6,878	0.0%
Cricetulus griseus	None	2	100.0%	31,790	100.0%	28,136	0.38	0.011	121.6	31.7	30,944	0.0%
Eucyclops serrulatus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Nanorana parkeri	None	2	66.7%	39,827	99.7%	34,553	0.36	0.0021	114.4	0.7	30,300	0.0%
Aplysia californica	None	1	50.0%	6,071	81.7%	6,071	0.38	0.0	125.1	0.0	5,080	0.0%
Sinocyclocheilus grahami	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Monodelphis domestica	None	3	100.0%	23,964	100.0%	16,299	0.37	0.016	82.1	13.6	13,173	0.0%
Ensis arcuatus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Sus scrofa	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Volvox carteri	None	1	100.0%	3,252	100.0%	3,252	0.41	0.0	66.8	0.0	1,449	0.0%
Eptatretus burgeri	None	5	26.3%	59,806	84.3%	17,459	0.41	0.012	101.5	17.9	40,675	0.0%
